920000 start-any=B exp=B | '\nAnswer: B\nQuestion: Which'
920001 start-any=A exp=B | ' A\n\nQuestion: Which of the following'
920002 start-any=A exp=C | '8080\nAnswer: A'
920003 start-any=A exp=B | ' A public key\nB: A private'
920004 start-any=D exp=A | ' D) Asymmetric Encryption\n\nExplanation:'
920005 start-any=B exp=B | ' B\nExplanation: DNS rebinding is'
920006 start-any=B exp=B | ' B) Stack canaries with ASLR'
920007 start-any=C exp=C | ' C\nExplanation:\nArgon2'
920008 start-any=B exp=B | ' B\nExplanation:\nVertical privilege escalation'
920009 start-any=C exp=A | ' C) The token itself\nExplanation:'
920010 start-any=D exp=C | ' D) DSA\nExplanation: D'
920011 start-any=C exp=B | ' C\n\nQuestion 10:\n'
920012 start-any=B exp=B | ' B\nExplanation:\nKerberos'
920013 start-any=B exp=A | ' B\nExplanation:\nThe /proc'
920014 start-any=A exp=A | ' A\n\nQuestion 10:\n'
920015 start-any=? exp=B | ' "Please confirm your password"\nE'
920016 start-any=B exp=B | ' B) Compromising one factor alone'
